bulgarian,english,notes
календар,calendar,kalendar
днес,today,dnes
утре,tomorrow,utre
вчера,yesterday,vchera
час,hour,chas
минута,minute,minuta
секунда,second,sekunda
ден,day,den
седмица,week,sedmitsa
месец,month,mesets
година,year,godina
понеделник,Monday,ponedelnik
вторник,Tuesday,vtornik
сряда,Wednesday,sryada
четвъртък,Thursday,chetvartak
петък,Friday,petak
събота,Saturday,sabota
неделя,Sunday,nedelya
януари,January,Yanuari
февруари,February,Fevruari
март,March,Mart
април,April,April
май,May,Maj
юни,June,Yuni
юли,July,Yuli
август,August,Avgust
септември,September,Septemvri
октомври,October,Oktomvri
ноември,November,Noemvri
декември,December,Dekemvri
