bg_upper,bg_lower,bg_hand,transliteration_upper,transliteration_lower,english_description,bg_upper_unicode,bg_lower_unicode,bg_hand_unicode
А,а,а,A,a,a as in apart,1040,1072,1072
Б,б,б,B,b,b as in bug,1041,1073,1073
В,в,в,V,v,v as in vet,1042,1074,1074
Г,г,г,G,g,g as in good,1043,1075,1075
Д,д,ɡ,D,d,d as in dog,1044,1076,609
Е,е,е,E,e,e as in best,1045,1077,1077
Ж,ж,ж,Zh,zh,s as in treasure,1046,1078,1078
З,з,з,Z,z,z as in zoo,1047,1079,1079
И,и,и,I,i,i as in machine,1048,1080,1080
Й,й,й,Y,y,y as in yes or yoyo,1049,1081,1081
К,к,к,K,k,k as in kick,1050,1082,1082
Л,л,л,L,l,l as in call or lend,1051,1083,1083
М,м,м,M,m,m as in man,1052,1084,1084
Н,н,н,N,n,n as in normal,1053,1085,1085
О,о,о,O,o,o as in order,1054,1086,1086
П,п,п,P,p,p as in pet,1055,1087,1087
Р,р,р,R,r,trilled r as in Spanish perro,1056,1088,1088
С,с,с,S,s,s as in sound,1057,1089,1089
Т,т,т,T,t,t as in stick,1058,1090,1090
У,у,у,U,u,оо as in boot,1059,1091,1091
Ф,ф,ф,F,f,f as in food,1060,1092,1092
Х,х,х,H,h,ch as in Scottish English loch,1061,1093,1093
Ц,ц,ц,Ts,ts,ts as in fits,1062,1094,1094
Ч,ч,ч,Ch,ch,ch as in chip,1063,1095,1095
Ш,ш,ш,Sh,sh,sh as in shot,1064,1096,1096
Щ,щ,щ,Sht,sht,sht as in shtick,1065,1097,1097
Ъ,ъ,ъ,A,a,u as in turn,1066,1098,1098
Ь,ь,ь,Y,y,soft sign: y as in canyon,1068,1100,1100
Ю,ю,ю,Yu,yu,yu as in youth,1070,1102,1102
Я,я,я,Ya,ya,ya as in yarn,1071,1103,1103
